[INFO-1]
PC22;e4:54:e8:87:7f:8f;172.30.136.216;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.254;dummy;
PC23;e4:54:e8:82:a7:f8;172.30.136.217;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.254;dummy;
PC24;e4:54:e8:87:4c:c8;172.30.136.218;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.254;dummy;
PC25;e4:54:e8:84:dd:22;172.30.136.219;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.254;dummy;
PC26;e4:54:e8:84:dd:78;172.30.136.220;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.254;dummy;
PC31;e4:54:e8:82:a8:34;172.30.136.221;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.254;dummy;
PC32;e4:54:e8:82:a8:9f;172.30.136.222;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.254;dummy;
PC33;e4:54:e8:82:a9:a5;172.30.136.223;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.254;dummy;
PC34;e4:54:e8:82:95:c3;172.30.136.224;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.254;dummy;
PC35;e4:54:e8:82:aa:65;172.30.136.225;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.254;dummy;
PC36;e4:54:e8:82:a7:c4;172.30.136.226;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.254;dummy;
PC41;;172.30.136.227;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.254;dummy;
PC42;;172.30.136.228;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.254;dummy;
PC43;e4:54:e8:82:aa:3f;172.30.136.229;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.254;dummy;
PC44;e4:54:e8:82:95:95;172.30.136.230;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.254;dummy;
PC45;e4:54:e8:82:a7:dd;172.30.136.231;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.254;dummy;
PC46;e4:54:e8:84:dc:86;172.30.136.232;172.30.136.193;10.239.3.7;10.239.3.8;172.30.136.254;dummy;

[FPB-1]
PC01;b0:6e:bf:82:75:3b;172.30.200.253;172.30.200.193;10.239.3.7;10.239.3.8;172.30.200.253;dummy;
PC11;b0:6e:bf:82:7c:61;172.30.200.194;172.30.200.193;10.239.3.7;10.239.3.8;172.30.200.253;dummy;
PC12;10:7b:44:4e:76:b6;172.30.200.195;172.30.200.193;10.239.3.7;10.239.3.8;172.30.200.253;dummy;
PC13;b0:6e:bf:d1:75:76;172.30.200.196;172.30.200.193;10.239.3.7;10.239.3.8;172.30.200.253;dummy;
PC14;b0:6e:bf:82:7c:75;172.30.200.197;172.30.200.193;10.239.3.7;10.239.3.8;172.30.200.253;dummy;
PC21;b0:6e:bf:d1:73:ea;172.30.200.198;172.30.200.193;10.239.3.7;10.239.3.8;172.30.200.253;dummy;
PC22;b0:6e:bf:d2:90:c9;172.30.200.199;172.30.200.193;10.239.3.7;10.239.3.8;172.30.200.253;dummy;
PC23;b0:6e:bf:cc:5a:d3;172.30.200.200;172.30.200.193;10.239.3.7;10.239.3.8;172.30.200.253;dummy;
PC24;b0:6e:bf:81:72:6c;172.30.200.201;172.30.200.193;10.239.3.7;10.239.3.8;172.30.200.253;dummy;
PC31;b0:6e:bf:d1:7c:94;172.30.200.202;172.30.200.193;10.239.3.7;10.239.3.8;172.30.200.253;dummy;
PC32;b0:6e:bf:82:7b:44;172.30.200.203;172.30.200.193;10.239.3.7;10.239.3.8;172.30.200.253;dummy;
PC33;b0:6e:bf:cc:5c:63;172.30.200.204;172.30.200.193;10.239.3.7;10.239.3.8;172.30.200.253;dummy;
PC34;b0:6e:bf:81:6c:af;172.30.200.205;172.30.200.193;10.239.3.7;10.239.3.8;172.30.200.253;dummy;
PC35;b0:6e:bf:d1:78:a3;172.30.200.206;172.30.200.193;10.239.3.7;10.239.3.8;172.30.200.253;dummy;
PC41;b0:6e:bf:d1:57:c7;172.30.200.207;172.30.200.193;10.239.3.7;10.239.3.8;172.30.200.253;dummy;
PC42;b0:6e:bf:82:7b:35;172.30.200.208;172.30.200.193;10.239.3.7;10.239.3.8;172.30.200.253;dummy;
PC43;b0:6e:bf:d1:75:75;172.30.200.209;172.30.200.193;10.239.3.7;10.239.3.8;172.30.200.253;dummy;
PC44;b0:6e:bf:d1:79:6f;172.30.200.210;172.30.200.193;10.239.3.7;10.239.3.8;172.30.200.253;dummy;

[CE]
PC01;d8:5e:b3:ba:38:12;172.30.200.254;172.30.200.193;10.239.3.7;10.239.3.8;172.30.200.254;dummy;
PC11;c4:6e:1f:05:11:cc;172.30.200.211;172.30.200.193;10.239.3.7;10.239.3.8;172.30.200.254;dummy;
PC12;04:7c:16:54:71:36;172.30.200.212;172.30.200.193;10.239.3.7;10.239.3.8;172.30.200.254;dummy;
PC13;04:7c:16:b5:75:c1;172.30.200.213;172.30.200.193;10.239.3.7;10.239.3.8;172.30.200.254;dummy;
PC14;d8:5e:d3:da:38:3d;172.30.200.214;172.30.200.193;10.239.3.7;10.239.3.8;172.30.200.254;dummy;
PC21;d8:5e:d3:da:38:40;172.30.200.215;172.30.200.193;10.239.3.7;10.239.3.8;172.30.200.254;dummy;
PC22;04:7c:16:b5:77:1e;172.30.200.216;172.30.200.193;10.239.3.7;10.239.3.8;172.30.200.254;dummy;
PC23;04:7c:16:54:71:14;172.30.200.217;172.30.200.193;10.239.3.7;10.239.3.8;172.30.200.254;dummy;
PC24;04:7c:16:b5:77:22;172.30.200.218;172.30.200.193;10.239.3.7;10.239.3.8;172.30.200.254;dummy;
